	top_level_mp	genes	n_genes	n_male	n_female	n_nonsexed
increased mean corpuscular hemoglobin concentration	hematopoietic system phenotype	Ahrr,Aicda,Aldh2,Antxr2,Apoe,Arhgap31,Aspg,Atp8a1,Bbc3,Bex6,Bmp6,Cc2d1b,Cops4,Ctsd,Ctsm,Diaph3,Dnaja4,Dnajc10,Dnase1l2,Duoxa2,Enox1,Epha5,Eps8l3,Ercc5,Fbxo36,Galnt18,Gm20646,Hook3,Hs3st3b1,Hsf1,Hsf2bp,Ifitm1,Ighmbp2,Kif1b,Kmt2e,Krt9,Lhfpl1,Lrrc15,Mag,Mcrs1,Mdk,Mtmr7,Myl3,Mysm1,Nrbp1,Nsf,Nt5c1b,Pde6b,Prdm2,Prl7d1,Prom2,Ptpra,Rab36,Rbm22,Rft1,Rusc1,S100a3,Sbno1,Sdc3,Sh3tc1,Shank1,Sirt1,Skida1,Slc38a10,Slc6a14,Slc6a5,Slc9a3r2,Smpdl3a,Snap23,Snapin,Sox13,Spink12,Syndig1l,Tfr2,Tmem94,Usp19,Usp31,Usp45,Ywhaz,Zfp536,Zzef1	81	30	44	21
increased mean corpuscular volume	hematopoietic system phenotype	Aak1,Acbd3,Acsf2,Afmid,Akap10,Aldh2,Alkbh8,Anapc13,Anxa6,Apex2,Areg,Arpc4,Arrb1,Aspa,Atf4,Atg4b,Atp5md,Atp6v1c1,BC055324,Baat,Bmp6,Bmp7,Brcc3,Bscl2,Btg1,Btg2,Btrc,Castor1,Cav1,Ccnd2,Cdk5rap2,Chn1,Cidec,Ckb,Clstn1,Cluap1,Cpa1,Cpe,Crlf2,Csnk1g2,Ctsa,Cystm1,Dact2,Dbnl,Dcaf10,Ddx6,Dkk3,Dlg4,Duox2,Dym,Elmod1,Epb41l5,Epc1,Esyt3,Fahd2a,Fam210a,Fam53b,Fbxl2,Fbxl20,Fbxw13,Fgf11,Foxo3,Gatm,Gdf2,Glt8d2,Gm4922,Gm4951,Gp1bb,Gper1,Gpr182,Hddc2,Hnrnph1,Hnrnpr,Hprt,Hsf2bp,Ift122,Iqce,Iqcj,Itch,Itga2,Kcnb1,Kcne1,Kcnk13,Kif20a,Klf7,Klk5,Knstrn,Lclat1,Ldlr,Lepr,Lsm11,Ly6g6d,Lyst,Marchf8,Mcl1,Mink1,Mxd3,Mysm1,Nmnat1,Npepps,Nptn,Nr1i2,Nsmf,Osm,Padi4,Pak2,Parl,Pcsk2,Pdcd5,Pde6b,Pdp1,Phf20l1,Phf5a,Plekha1,Pnpt1,Pola2,Ppp2r5c,Ppp2r5e,Ptges2,Rab20,Rad18,Rft1,Rhobtb3,Rhou,Ric1,Rilpl1,Rnf25,Rpa1,Rtn4r,S100b,Sacs,Satb2,Scg5,Slc29a1,Slc38a10,Slc44a5,Sorcs2,Sox13,Spns2,Stag1,Stard3,Strbp,Tafa4,Tbc1d4,Tfap4,Tfr2,Thsd1,Tmem11,Tmem165,Tmem189,Tnks,Top2a,Trappc2l,Trim58,Trrap,Ube2e1,Ube2j2,Ubl7,Usp38,Vps13b,Washc5,Wrnip1,Xbp1,Ypel2,Zbtb45,Zfand6,Zfp346	167	86	81	43
increased mean platelet volume	hematopoietic system phenotype	4930404H24Rik,Abcg8,Abhd3,Abraxas2,Acaa1a,Adora2a,Ahcyl1,Aig1,Ampd1,Apbb1ip,Arhgap10,Atp8b2,Aven,B3galt1,Baz1a,Bin2,Birc7,Brcc3,Bscl2,C2cd4a,Camkmt,Cd160,Cd300a,Cd300ld2,Cers1,Cnga2,Cpt1a,Crppa,Ctso,Ddx55,Defb14,Ehmt1,Eif2a,Elmod1,Fbxl20,Fbxo38,Fbxo43,Fbxo7,Fer,Gm5155,Gp1bb,Gp9,Gpsm2,Grm7,Gtf2e2,Hbs1l,Hecw2,Herc1,Hnrnph1,Irgm1,Itga2,Kdm1a,Klrc3,Larp1,Larp4b,Lepr,Lmod3,Lpin2,Lta4h,Luc7l2,Ly6g6d,Mfsd1,Mmd,Mpig6b,Mtmr2,Naaa,Nbeal2,Ncf2,Nfix,Nhp2,Nos3,Os9,Pak2,Parp12,Pbrm1,Pdcd6ip,Phf20l1,Phf5a,Phf8,Pip4p1,Pla2g2f,Polr3a,Prkab1,Psg22,Ptp4a2,Rnf10,Scn1b,Sgms1,Sirpb1a,Slc24a3,Slc29a3,Slc38a10,Smoc1,Snca,Snx14,Sorcs2,Stard10,Stom,Strbp,Tbc1d22a,Tmem189,Tnip1,Tnks,Tpo,Trappc10,Trappc2l,Trappc9,Ube2e1,Ube2z,Ush1c,Usp15,Usp20,Usp32,Vps13b,Wbp2nl,Wdr37,Zdhhc5,Zswim1	118	69	58	26
increased memory CD4-positive, CD25-positive, alpha-beta regulatory T cell number	immune system phenotype,hematopoietic system phenotype	Arpc1b,Bach2,Cog6,Cttnbp2,Dph6,Gmds,Hbs1l,Pclaf,Pepd	9	0	0	22
increased memory-marker CD4-negative NK T cell number	immune system phenotype,hematopoietic system phenotype	Abcg8,Arpc1b,Bach2,Dph6,Gimap6,Mzb1,Parp1,Pepd,Prkab1,Tent4a,Tmprss6,Ube3c	12	5	3	11
increased memory-marker CD4-positive NK T cell number	immune system phenotype,hematopoietic system phenotype	Becn1,Cxcr2,Pdia6	3	0	2	1
increased memory-marker NK cell number	immune system phenotype,hematopoietic system phenotype	Arpc1b,Bach2,Cog6,Cxcr2,Gmds,Pepd,Sik3,Spink14,Tmem127	9	0	0	17
increased memory-marker gamma-delta T cell number	immune system phenotype,hematopoietic system phenotype	Cog6,Cxcr2,Dph6,Prkab1,Rwdd1,Sik3	6	0	0	11
increased monocyte cell number	immune system phenotype,hematopoietic system phenotype	Abcb4,Agbl4,Ahcy,Aire,Ankfy1,Apbb1ip,Arhgef1,Arrdc4,Atp5md,Bach2,Bbs5,Bdkrb1,Bmp7,Brpf1,Bscl2,C8a,Cd19,Cd74,Cib1,Clpp,Cog6,Cox7a1,Crabp1,Crybg1,Cstb,Ctsa,Ctsm,Cxcr2,Dip2c,Dll1,Dph6,Egr1,Epg5,Epx,Fam210a,Fbxl19,Fbxl8,Gabarapl2,Gimap6,Gmds,Gsdmc,Herc1,Hexb,Idh1,Irgc1,Lepr,Lgmn,Lrrtm1,Lyn,Mamld1,Mtch2,Osbp,Parvb,Pbld2,Plce1,Pld4,Ppp2r2b,Ppp2r5c,Prkdc,Rft1,Rnf169,Rnf216,S100a14,Scg5,Setd5,Setx,Sh3tc1,Slc15a3,Snrnp200,Stau2,Tbkbp1,Tcaim,Tnip1,Trappc9,Ube2e1,Wac,Wnt6,Yipf6,Zswim1	79	44	55	18
increased neutrophil cell number	immune system phenotype,hematopoietic system phenotype	Adipor1,Ajuba,Ankrd27,Apbb1ip,Aqp1,Atg4c,Atn1,Atp5md,Atp8b1,Bach2,Bckdha,Bcl3,Blnk,Cabp1,Camsap3,Cckbr,Cd19,Cd22,Cd74,Cdk12,Clcnkb,Col1a2,Col4a5,Cxcr2,Dlgap2,Dpp4,Duox2,Duoxa2,Epg5,Epha5,Eprs,Fam83h,Fbxo15,Fbxo36,Fndc9,Gabarapl2,Gmds,Hddc2,Hmgn2,Ikzf3,Il10ra,Il2ra,Ing4,Inpp5k,Irf4,Itprid1,Kbtbd3,Kdm2b,Lats1,Lepr,Lrrc3,Lrrk1,Lta,Lyn,Mfsd1,Mybl2,Ncoa2,Olfr380,Pde2a,Phf20l1,Pik3c2a,Pou2af1,Ppm1n,Ppp2r5c,Prkdc,Pstpip2,Rft1,Rgl1,Sdc4,Setx,Spred1,Stat1,Tnfrsf1a,Tnip1,Trim39,Ttc28,Ubl7,Ulk3,Usp31,Yy2,Zc3h12c,Zswim1	82	52	32	21
increased or absent threshold for auditory brainstem response	hearing/vestibular/ear phenotype	App,Crot,E2f3,Krt35,Tm4sf5,Tmem175	6	3	2	1
increased plasma cell number	immune system phenotype,hematopoietic system phenotype	Arpc1b,Cog6,Cttnbp2,Dph6	4	0	0	7
increased plasmacytoid dendritic cell number	immune system phenotype,hematopoietic system phenotype	Arhgef1,Dph6,Duoxa2,Sik3	4	0	0	9
increased prepulse inhibition	nervous system phenotype	1700086L19Rik,2610301B20Rik,2610507B11Rik,4932411N23Rik,Aak1,Aatf,Abca6,Abca7,Abcg2,Acsm2,Actc1,Acvr1b,Adig,Aifm3,Ap2a1,Ap2s1,Ap4e1,Arhgap23,Arhgap4,Arhgef12,Arhgef26,Arrdc1,Atp2a2,Bbs7,Bmp10,Bnc2,C1qc,C1qtnf2,C2cd2l,Cabp4,Cabp5,Capn10,Card11,Catsperz,Cav3,Ccl26,Ccpg1os,Cdc7,Cdh4,Chchd1,Clec5a,Clptm1l,Cnppd1,Cpeb4,Cstb,Cuedc1,Cxcl5,Depdc1a,Disc1,Dkkl1,Dnajb12,Dnajc5g,Dnase1l2,Dnmbp,Dock9,Dusp12,E2f3,Erlec1,Exoc4,Fastkd5,Fbxo30,Fmo5,Fndc3a,Fndc3b,Fus,Garem1,Glyr1,Gorasp1,Hjv,Homer2,Iah1,Ifnl3,Il1a,Irf8,Ism2,Jun,Kcna5,Kcnc2,Kcnj14,Kctd16,Kin,Klf12,Klhl29,Laptm4a,Lgi3,Lima1,Lpar4,Ly6d,Maz,Mcrs1,Micu1,Mphosph9,Msantd2,Mx2,Nexmif,Nfatc4,Npm3,Nsd3,Nt5c1b,Ntf5,Nutf2,Pabpc5,Pacrgl,Pald1,Pcdh8,Pde5a,Pitpnc1,Pmpcb,Pole2,Ppfia2,Ppm1m,Prkch,Ptchd1,Ptdss1,Ptp4a3,Ptpn5,Rab3ip,Rap1gap2,Rasal3,Rb1cc1,Reg2,Relch,Rimklb,Rlbp1,Ror1,Rsad1,Sash1,Serf2,Sertad3,Sgip1,Skida1,Slc24a3,Slc30a7,Slc44a2,Snx22,Sox30,Stat4,Stk36,Stx7,Tasor2,Tbc1d24,Tbr1,Tdo2,Tmem175,Tpgs2,Trip13,Tspan18,Txndc5,Tyk2,Ubl4b,Uchl1,Unc5c,Unkl,Usp31,Yipf5,Zfp300,Zfp512,Zfp536	158	92	91	90
increased pro-B cell number	immune system phenotype,hematopoietic system phenotype	Pclaf	1	0	0	2
increased pulmonary respiratory rate	respiratory system phenotype	Aldoc,Avp,Bach2,Catsper3,Elfn2,Gatm,Gpsm1,Lpo,Mpig6b,Mxra7,Nmral1,Parp12,Pfn4,Phpt1,Pnck,Syt17,Taar6,Thpo,Wsb2	19	8	9	9
increased pulmonary ventilation	respiratory system phenotype	Arap1,Cdh26,Gpank1,Il13,Kcnj3,Lta,Nadsyn1,Svs2,Syt17,Trappc2	10	6	2	5
increased red blood cell distribution width	hematopoietic system phenotype	3830406C13Rik,4930591A17Rik,Aasdh,Abcb4,Abcg8,Actl10,Adipor1,Angptl4,Antxr2,Arrdc4,Atp5e,Ccdc122,Ccdc127,Ccdc69,Cdk12,Chsy3,Clcnkb,Cnot7,Cog6,Col4a5,Col6a3,Crlf3,Dact3,Dbn1,Dis3,Dmd,Dus2,Dusp16,Elmod1,Epg5,Etaa1,Fam126a,Fbf1,Fbxo11,Fbxo36,Fbxo38,Fbxo7,Fcho2,Fer,Fgb,Galnt18,Gda,Ggh,Gna11,Gpc1,Gpr146,Gsdmc,Hbb-bh2,Hbs1l,Herc1,Hpf1,Ift140,Irgm1,Kat2b,Klk5,Kmt2e,Lpin2,Lrrk1,Ltn1,Lyn,Lztr1,Man2a1,Med23,Mfsd1,Micu2,Mrap2,Natd1,Nemp1,Ninj2,Nutm1,Orc1,Pdzd8,Pld3,Plet1,Polb,Prkab1,Retreg3,Rnf10,Scg5,Sgsm1,Sik3,Slc29a3,Smoc1,Spz1,Susd1,Syt9,Tagln2,Tbc1d22a,Tceal9,Tex261,Tmem11,Tnip1,Tnks,Trappc10,Trim16,Trim21,Ttc28,Usp21,Usp54,Vil1,Vps13c,Wars,Wdr11,Zfp341,Zfp474	105	85	38	18
increased regulatory T cell number	immune system phenotype,hematopoietic system phenotype	Hbs1l,Setd5	2	2	3	0
increased respiratory quotient	homeostasis/metabolism phenotype	Bccip,Bivm,Caskin1,Ccdc122,Cd55b,Dnal1,Dppa1,Epc2,Fgfr1,Fus,Fyb,Krt8,Nobox,Npepps,Ryr1,Sap130,Sdc4,Tmem237,Tmem256	19	1	4	14
increased rib number	skeleton phenotype	Ppp5c	1	2	0	0
increased skeletal muscle mass	muscle phenotype	Adgb	1	1	0	0
increased spleen weight	immune system phenotype,growth/size/body region phenotype,hematopoietic system phenotype	Abcb4,Abcg8,Acsl5,Adipor2,Agtr1a,Ajuba,Apbb1ip,Bcl3,Bhmt,C9orf72,Cabp1,Cd5,Cdk12,Col1a2,Col4a5,Cspg4,Ctsa,Cybb,Cyp27a1,Dhx40,Dock2,Dusp16,Dym,Epg5,Fer,Fgf3,Gigyf2,Glrb,Gp9,Gpr182,Hagh,Id3,Irf4,Kiss1r,Lama4,Leprotl1,Lrrk1,Lyn,Mllt6,Mpig6b,Nelfa,Nemp1,Ngp,Nisch,Oasl1,Pcgf3,Phf20l1,Pld4,Plekha5,Prkab1,Ptgis,Rnf43,Rpusd2,Ryr1,Scn8a,Sell,Sirpa,Slc3a1,Spred1,Taf6,Tmem51,Tnip1,Tox,Tst,Vps4a	65	36	28	19
increased startle reflex	behavior/neurological phenotype	2310022B05Rik,2900026A02Rik,4932438A13Rik,Abcb4,Abcc5,Acbd3,Ajap1,Akr7a5,Akt2,Aldh3a2,Anxa6,Ap4e1,Arap1,Arhgef4,Arvcf,Aste1,Atf7,Bahd1,Bcl2l15,Becn1,Bfsp1,Brpf1,Cacnb4,Capn5,Cav1,Cdc123,Cdk13,Cgas,Chrna9,Chst12,Cldn11,Clk1,Clk2,Cndp2,Cnr2,Col11a2,Colec12,Ctnnb1,Cttnbp2nl,Cyp7a1,D5Ertd579e,Dach1,Ddx27,Ddx52,Dis3,Dnajb11,Dnajc17,Dnajc7,Drg2,Dtx2,Dym,E2f3,Ebf1,Elk3,Elmod1,Enpep,Epb41l1,Epb41l5,Ephx1,Erap1,Esd,Esrra,F2rl1,Fam161a,Fam83g,Farp1,Fbp2,Fbxo11,Fgf9,Fkbp10,Frmd5,Gm5134,Gna11,Gnas,Gria2,Grin2b,Grin2d,H3f3b,H6pd,Hbp1,Hint1,Hmbs,Hsf2bp,Id3,Ifit3,Iqgap2,Itk,Kcnj12,Kpna4,Lama1,Lamtor4,Lep,Lhfp,Limk2,Lrrc41,Marchf7,Mat2a,Mboat1,Mcf2l,Mecom,Med18,Meis1,Mob2,Mocs2,Mtarc2,Myc,Mysm1,Ncor2,Nfxl1,Nhs,Nipsnap1,Nol8,Nolc1,Npas3,Nr1h4,Nr3c2,Nr6a1,Nsd3,Oplah,Pacs2,Parl,Pcdh10,Pcm1,Phldb2,Pkn2,Pla2g10,Pmel,Ppil1,Ppy,Prmt1,Prpsap2,Prss50,Pspc1,Ptpra,Rab10,Ralgps1,Rbfox3,Rcc1l,Rcn1,Retreg3,Rgl1,Rnf169,Rps26,Sema3f,Serf2,Setdb1,Setmar,Sfrp2,Slc25a15,Slc8a3,Sox13,Spryd3,Spta1,Ssbp2,Steap3,Stim2,Strap,Sufu,Syncrip,Tap1,Tbc1d21,Tg(Thy1-MAPT*P301S)2541Godt,Thra,Timp4,Tmco3,Tmem225,Tmem255b,Tmem72,Tnfaip1,Tnfrsf1b,Tnks2,Tpm1,Tpte,Trp53,Trpc3,Ube2a,Ube2o,Ubl7,Vat1l,Vdac1,Vps13b,Wbp1l,Wbp2,Wtap,Zbtb12,Zbtb5,Zfp119a,Zfp207,Zfp462,Zfp69	190	198	103	82
increased thermal nociceptive threshold	behavior/neurological phenotype	Cdca8,Hmx3,Kcne2,Mir96,Myo7a,Mysm1,Rapgefl1,Whrn,Zfp106	9	3	2	5
increased thigmotaxis	behavior/neurological phenotype	4932438A13Rik,Abat,Abhd14b,Abi2,Acvr2a,Agbl4,Ap4e1,Arid4b,Arl8b,Atg4d,Atp6v1d,Bmp2k,Bmp6,Bok,Cacna2d1,Cbarp,Ccdc85b,Cdan1,Cdh7,Cdk18,Cdyl2,Cldn11,Cmpk2,Cnep1r1,Cnih2,Cnksr2,Cntnap3,Colca2,Cspp1,Cts6,Cyp17a1,Dennd2d,Dhdds,Dhx29,Dlgap1,Dmd,Dnajc15,Dpp8,Dpp9,Efhc2,Efna5,Efr3b,Ehmt1,Eif2b3,Emc8,Epc2,Epdr1,Fam160a2,Fam83h,Fbxl16,Fbxo21,Fcgr3,Fndc3a,Folh1,Foxn3,Foxo3,Frmd5,Gabra2,Gad2,Gatm,Gbx1,Ggnbp2,Gm17359,Gm9733,Gsto1,Gtf2ird2,H1f0,Hmgb4,Hnrnpd,Hook1,Hsd17b1,Hsf5,Ifi44,Ift88,Ighmbp2,Igsf11,Igsf9b,Irgc1,Irx1,Itga8,Itm2c,Kash5,Katnal2,Kcnb2,Kcnt2,L3mbtl3,Lcp2,Lhfp,Lnpep,Lrrc3,Lrrc30,Lsm1,Mak16,Mamld1,Mapt,Mbd5,Mboat1,Mindy4,Mipol1,Mkrn3,Mlh1,Mpp6,Mpped2,Msantd2,Mvk,Naa10,Naa25,Nab2,Nav3,Ncoa6,Nemp1,Neurod2,Npm3,Nrros,Nsd3,Ogfod3,Olfml2b,Parp8,Patj,Pde1a,Pdlim4,Pepd,Phf11c,Phf14,Pipox,Pkn1,Plau,Poc5,Ppfibp2,Prdm5,Prss33,Prss56,Ptpn12,Ranbp17,Rasd1,Rasgrf1,Rbpj,Rep15,Retnlg,Rgsl1,Rhbdl3,Rims3,Rln3,Sema4d,Sez6l,Sgip1,Shank2,Shisal1,Six1,Slc4a10,Slurp1,Smoc1,Smurf1,Sprr1b,St7,Stxbp1,Suclg2,Supt4a,Surf4,Syce1,Tas2r116,Tceal1,Tctn3,Tg,Thyn1,Tm2d2,Tmem203,Tmprss6,Tnpo2,Trappc2l,Trip13,Tspyl1,Ube2j2,Unc80,Upf3a,Upf3b,Usp29,Vps37d,Vwc2l,Wdr60,Whamm,Ythdc2,Zfp174,Zfp189,Zfp462,Zfp512b,Zmiz2	187	192	144	108
increased thoracic vertebrae number	skeleton phenotype	Ppp5c	1	1	0	0
increased thymus weight	immune system phenotype,endocrine/exocrine gland phenotype,hematopoietic system phenotype	Dusp13	1	0	0	1
increased tidal volume	respiratory system phenotype	Gpank1,Pde6b	2	1	0	1
increased total body fat amount	adipose tissue phenotype	1500009L16Rik,1700008P02Rik,1700037C18Rik,1700069L16Rik,2210408I21Rik,3830406C13Rik,AU040320,Abca12,Abhd8,Ablim1,Acad12,Acsl4,Adal,Adam32,Agbl1,Agpat4,Ahcyl1,Aldh3b1,Alg13,Alg8,Alg9,Alpk2,Ankrd13a,Ap1g1,Apoe,Aptx,Arl10,Arpc5l,Arrdc1,Aspa,Aspm,Atg4a,Atl2,B3galnt2,Baz2b,Bbs5,Bbx,Bmi1,Borcs6,Brd9,Cacng6,Camk1d,Camsap3,Cartpt,Cbx4,Cbx6,Ccdc116,Ccdc8,Cchcr1,Cd200,Cdh19,Cenpj,Cep19,Cep250,Clpp,Clrn2,Clstn3,Cnih3,Cnot4,Cntnap5a,Coq2,Cpgi11865,Cpsf4l,Cpt1c,Crcp,Creb3l1,Ctnnb1,Cyb561,Cyp17a1,Cyp19a1,Cyp2b13,Cystm1,D430041D05Rik,Dap3,Dbpht2,Dhx40,Dlk1,Dmxl2,Dnase1l2,Dnd1,Dok7,Dpp8,Dram1,Dtl,Duoxa2,Dusp3,Elmod2,Elp6,Emc3,Emc8,Eomes,Epas1,Epx,Esr2,Exosc2,F7,F730043M19Rik,Fadd,Fads3,Fam222a,Fam81b,Fancl,Farsa,Fbf1,Fgf10,Fgl1,Flnc,Fndc3a,Fndc9,Fos,Foxn1,Fyttd1,G2e3,Gabrg3,Gas7,Gemin4,Ggps1,Ghrh,Ghrhr,Gimap6,Glg1,Glra4,Gm5447,Gng13,Gnl1,Gpr15,Gpr61,Gprasp2,Greb1l,Grik4,Gsk3a,Gsto1,Gtf2a1,Gys2,H2-Eb2,H2al2a,Hadhb,Hao2,Hapln4,Hdac8,Heca,Hectd2,Herc1,Hhatl,Hrh4,Hsbp1l1,Hsf5,Htr2b,Igsf8,Il31ra,Iqsec3,Ist1,Kash5,Kat5,Kbtbd8,Kdm5b,Kif18b,Kiss1r,Kmt2e,Kti12,Lepr,Lhx6,Lmod3,Lrrk1,Ltv1,Luc7l3,Lyar,Lysmd1,Mamld1,Map7d1,Mbip,Mcu,Mecom,Med16,Mettl22,Mettl26,Mical3,Minar2,Mir129-2,Mpp6,Mpv17l2,Mrap2,Mrps22,Mrps35,Mta1,Mtarc2,Myh1,Myl2,Mynn,Myo15,Mysm1,Nans,Ncald,Ncbp1,Neurod2,Nexmif,Nhlh2,Npy5r,Nr1d1,Nsd3,Nup205,P2rx4,P2rx6,P3h1,Pak1,Pak5,Pbx3,Pcnx4,Pcx,Pcyox1l,Pde8a,Penk,Pepd,Pgbd5,Phkb,Phldb1,Pias2,Pigf,Pigz,Pkn1,Pla2g2a,Plac9a,Plbd2,Plcb4,Ppp2r2d,Ppp2r5c,Prc1,Prdm14,Prmt7,Prpf31,Ptgr1,Ptp4a2,Pttg1ip,Pxylp1,Qrsl1,Rab8a,Rabl2,Rbpms2,Rfxap,Rhbdf2,Ric8a,Rnase10,Rnf10,Rnf24,Rp9,Rspo4,Rsu1,Rtn4r,Rwdd1,Rwdd2a,Sdhaf3,Sec11c,Sec31b,Selenok,Serac1,Sertad3,Sfrp1,Sgta,Sh2d5,Shank1,Shh,Shtn1,Slc10a3,Slc25a18,Slc25a21,Slc25a42,Slc9a5,Snap47,Speer4f1,Spidr,Spns1,Sst,Stag3,Stard3nl,Stau2,Syce2,Syk,Syt1,Szrd1,Taf11,Taf5,Tas2r139,Tatdn3,Tceal1,Tcf20,Tchh,Tead1,Tfeb,Tlr4,Tmem132a,Tmem161b,Tmem9b,Tnfaip1,Tpgs2,Tpk1,Tram2,Trappc10,Trappc9,Trf,Trim35,Trim37,Trip13,Trnp1,Try10,Tsga13,Tspan13,Tstd1,Ttc7,Tulp3,Txnip,Ube2j1,Ube2j2,Ube3c,Ube4a,Ubr2,Ubxn10,Ufm1,Ufsp2,Upb1,Usp1,Usp12,Usp13,Usp35,Usp38,Usp42,Vps13a,Vps13b,Vps25,Xbp1,Xylb,Ypel4,Ythdc2,Zbtb45,Zc3hc1,Zfp148,Zfp202,Zfp407,Zfp462,Zfp593,Zfp629,Zfp92	341	334	136	61
increased total retina thickness	vision/eye phenotype	Acsf3,Aqp6,Carmil2,Cdsn,Dgkk,Hnf4a,Ntn4,Ppp4r3b,Strbp	9	5	5	4
increased transitional stage T1 B cell number	immune system phenotype,hematopoietic system phenotype	Arhgap17	1	0	0	2
increased urine glucose level	homeostasis/metabolism phenotype,renal/urinary system phenotype	Nek7	1	1	0	0
increased urine magnesium level	homeostasis/metabolism phenotype,renal/urinary system phenotype	Dhx29,Epgn,Mrpl51,Myo3a,Slc8b1	5	2	2	2
increased urine microalbumin level	homeostasis/metabolism phenotype,renal/urinary system phenotype	Lcn2,Nek7,Paqr7,Vsig4	4	2	0	2
increased vertical activity	behavior/neurological phenotype	9530003J23Rik,Aak1,Adora1,Amigo1,Bola1,Cchcr1,Cdc42bpb,Cdk17,Ckb,Clstn2,Col18a1,Csnk2a2,Cstb,Ctsj,Dbn1,Dennd6a,Dipk1c,Dnajc28,Dpyd,Drc7,Ebf1,Eid2,Ephb1,Eps8,Erich3,Fam120a,Fndc4,Frmd4b,Gad2,Gde1,Glycam1,Gm94,Gmppa,Gnb1,Gnb2,Gpr135,Gpr15,Gpr153,Idh3b,Igsf9b,Ilk,Ino80c,Jpt1,Kcnc3,Kcnd3,Kifc1,Klhdc7a,Lpgat1,Macrod2,Mcidas,Mepce,Myo6,Myrf,Nab2,Ncoa1,Ndfip2,Ndrg1,Neil2,Nmrk2,Nol4,Nos1ap,Npcd,Nup37,Pcdh9,Pold2,Ppfia3,Ppp1r26,Ppp4r3b,Prrxl1,Ptpru,Pxdn,Rab11fip3,Rbm26,Rbm4b,Relch,Ric8a,Rnf10,Rnpepl1,Sap18,Scg2,Scg3,Shisa7,Sipa1l1,Slc1a1,Slc41a2,Sp5,Srsf9,Tagln2,Tbc1d8,Tecpr2,Tm7sf2,Tubal3,Ugt2a1,Upf3b,Vsig4,Wnk2,Zfp113,Zfp334,Zfp407,Zfp629	100	43	50	22
inflammation	nan	Adipor2,Aimp1,Aire,Arpc1b,Barx2,C9orf72,Cfh,Chic2,Cmas,Ddx6,Dnmbp,Dok7,Fgf10,Il12rb1,Itch,Lyst,Mcidas,Myd88,Nf1,Nfil3,Pex3,Scarb2,Smurf2,Spns2,Tm9sf3,Tmprss15	26	28	31	0
intracellular and extracellular accumulation	nan	Cfap57,Dnmbp,Hmx2,Itch,Shld1	5	3	4	0
intracellular and extracellular depletion	nan	Itch	1	0	1	0
iris synechia	vision/eye phenotype	1700001O22Rik,Agbl1,Apmap,Chic2,Cubn,E2f3,Hipk4,Ik,Itfg2,Kcnv1,Kdm8,Mettl5,Myom2,Pex6,Plekha5,Rab10,Rd3,Sag,Taco1,Tex2,Trf,Tssk4,Wdr11,Zfp597	24	9	10	9
iron deposition	nan	Gys2	1	0	1	0
irregularly shaped pupil	vision/eye phenotype	Adamtsl4,Afg1l,Col18a1,Col4a3,Diaph3,E2f3,Ehmt1,Eps15l1,Hsd17b4,Igsf9b,Ik,Kdm8,Med12l,Ncald,Nxn,Pitx2,Pkig,Plekha5,Ppfia3,Ppp2r5c,Pus1,R3hcc1l,Sema3e,Slc20a2,Slc44a1,Trpm7,Ubl7,Usp50,Wnt2b	29	7	15	10
kinked tail	limbs/digits/tail phenotype	Mysm1,Sfrp2,Vangl2	3	3	3	1
kyphosis	skeleton phenotype	Bbip1,Bmp6,Fam221a,Fbxw18,Fgf14,Kcnv2,Krt72,Prss54,Rnf148,Ropn1l,Sik3,Slc20a2,Tpte,Tram2,Wdr37	15	7	3	5
limb grasping	behavior/neurological phenotype	2700097O09Rik,2810408A11Rik,AU040320,Abca16,Abcc5,Acbd5,Adarb2,Adipor2,Ankib1,Ap4e1,Arl6ip1,Aspa,Atg4b,Atn1,Bach2,Btbd2,Cad,Cib2,Clic5,Clstn2,Csmd3,Cyp2u1,Cyp4f16,Dbf4,Dusp13,Eef1b2,Elavl4,Elovl6,Fbxl21,Fgf2,Fkbp6,Fndc4,Foxred2,Frrs1l,Gabra2,Gbx1,Gnl1,Gramd1c,Grm7,Hecw1,Hsd17b4,Ift74,Igsf11,Il15,Itsn1,Kcnj3,Lepr,Leprotl1,Mapk15,Mecom,Mfsd4b4,Mir96,Ndrg4,Ngfr,Npr2,Nptn,Nrcam,Nrros,Pak5,Pcsk2,Polr1c,Ppm1a,Prmt1,Prss2,Ptpn20,Pycr2,Rab15,Rab18,Riiad1,Rnf10,Rpe65,Rxylt1,Sema3f,Shank2,Shh,Slc41a3,Slitrk1,Sox14,Spag17,Srbd1,Stk32c,Syce1,Tas2r138,Tex29,Thra,Tmem108,Tmem256,Tmem63b,Toe1,Tpo,Trf,Trpc3,Trpm1,Ube2b,Ubn1,Ush1c,Utp4,Vgf,Vti1a,Wdr47,Yeats2,Zfp174	102	59	57	18
lipid depletion	nan	Sec24a,Slc38a10,Tpd52l2	3	1	3	0
lipid deposition	nan	Abhd5,Acsl4,Atp5a1,Cldn16,Ctcf,Dnase1l2,Espn,Gclc,Gys2,Kmt5b,Lepr,Lmnb1,Lmnb2,Ltbp1,Miga2,Ptpn2,Sar1b,Sec24a,Slc38a10,Slc5a2,Smc3,St18,Stk32a,Tpd52l2	24	26	28	0
lipoma	nan	Efna1	1	1	0	0
liquefactive necrosis	nan	Ppl	1	1	1	0
